Metlink_Stop_ID,Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,VicgridX,VicgridY,Boardings,Alightings,DailyUse
21124,75,City(La Trobe/Spencer St) to Vermont South,Down,73-Springvale Rd/Burwood Hwy (Vermont South),0076,2973,2514984.026,2405113.627,12.4630565643,31.1576414108,43.6206979752
21125,75,City(La Trobe/Spencer St) to Vermont South,Down,74-Stanley Rd/Burwood Hwy (Vermont South),0077,2974,2515397.506,2405044.064,,3.11576414108,3.11576414108
21126,75,Vermont South to City(La Trobe/Spencer St),Up,74-Stanley Rd/Burwood Hwy (Vermont South),0002,1974,2515363.186,2405044.127,35.8080356121,16.2763798237,52.0844154358
21127,75,Vermont South to City(La Trobe/Spencer St),Up,75-Hanover Rd/Burwood Hwy (Vermont South),0001,1975,2516023.523,2404940.336,296.230113029,56.0837535858,352.313866615
2113,19,City(Elizabeth/Flinders st) to North Coburg,Down,36-Rogers St/Sydney Rd (Coburg),0036,2436,2497007.72,2418342.756,3.5697312355,3.5697312355,7.13946247101
21196,59,Airport West to City(Elizabeth/Flinders st),Up,51-Bradshaw St/Keilor Rd (Essendon),0009,1312,2490821.559,2418040.278,56.2232666016,7.0279083252,63.2511749268
21231,75,City(La Trobe/Spencer St) to Vermont South,Down,1-Spencer St/Flinders St (Melbourne City),0006,3601,2496092.288,2408903.05,93.4729223251,65.4310469627,158.903969288
21232,35,Docklands to Spring Street,Down,1-Spencer St/Flinders St (Melbourne City),0024,3701,2496074.423,2408886.283,140.627920151,449.228079796,589.855999947
21233,35,Docklands to Spring Street,Down,2-Melbourne Aquarium/Flinders St (Melbourne City),0023,3702,2496276.531,2408963.734,136.721589088,312.506487846,449.228076935
21234,75,City(La Trobe/Spencer St) to Vermont South,Down,2-Melbourne Aquarium/Flinders St (Melbourne City),0007,3602,2496299.326,2408981.502,46.7364611626,3.11576414108,49.8522253036
21961,19,City(Elizabeth/Flinders st) to North Coburg,Down,29-Moore St/Sydney Rd (Coburg),0029,2429,2496864.167,2416382.946,28.557849884,3.5697312355,32.1275811195
21962,19,North Coburg to City (Elizabeth/Flinders St),Up,20-Barkly Square/Sydney Rd (Brunswick),0021,1420,2496558.385,2414034.939,261.252512455,76.6340696812,337.886582136
21963,3,East Malvern to Melbourne University,Down,35-Carlisle St/St Kilda Rd (St Kilda),0027,1035,2498830.657,2403704.837,49.7747218609,19.1441237926,68.9188456535
21964,75,Vermont South to City(La Trobe/Spencer St),Up,40-Camberwell Junction/Camberwell Rd (Camberwell),0034,1940,2505009.895,2407714.339,19.5316557884,201.827112675,221.358768463
21966,24,North Balwyn to City(Docklands),Up,21-Church St/Victoria St (Richmond),0029,1721,2500070.443,2410040.361,58.0369200706,4.83641004562,62.8733301163
22100,24,City(Docklands) to North Balwyn,Down,15-Smith St/Victoria Pde (Fitzroy),0017,2715,2498454.189,2410238.108,33.8548703194,33.8548703194,67.7097406387
22109,16,Melbourne University to Kew via St Kilda Beach,Up,131-St Kilda Rd/Fitzroy St (St Kilda),0026,2441,2498421.734,2404897.13,6.09808254242,24.3923296928,30.4904122353
22110,16,Kew to Melbourne University via St Kilda Beach,Down,131-St Kilda Rd/Fitzroy St (St Kilda),0057,1441,2498443.732,2404907.679,26.9156734943,3.3644592762,30.2801327705
22111,16,Melbourne University to Kew via St Kilda Beach,Up,132-Princes St/Fitzroy St (St Kilda),0027,2442,2498293.277,2404790.223,6.09808254242,3.04904127121,9.14712381363
22112,16,Kew to Melbourne University via St Kilda Beach,Down,132-Princes St/Fitzroy St (St Kilda),0056,1442,2498243.738,2404771.677,20.1867549419,3.3644592762,23.5512142181
22152,11,Victoria Harbour (Docklands) to Preston,Down,7-101 Collins St (Melbourne City),0011,3408,2497394.454,2409638.848,119.701145172,76.1734580994,195.874603271
22153,31,Hoddle Street to Victoria Harbour (Docklands),Up,7-101 Collins St (Melbourne City),0009,3508,2497400.799,2409619.316,325.853133202,36.5753517151,362.428484917
22305,59,Airport West to City(Elizabeth/Flinders st),Up,52-Treadwell Rd/Keilor Rd (Niddrie),0008,1313,2490507.707,2418191.977,98.3907165527,7.0279083252,105.418624878
