Metlink_Stop_ID,Boardings,Alightings,wk7am7pm
3661,33.1,3.1,36.2
3662,1.5,10.5,12.0
3663,12.0,40.9,52.9
3664,8.5,45.0,53.5
3665,18.8,39.1,57.9
3666,14.0,29.0,43.0
3667,9.0,23.0,32.0
3668,,12.5,12.5
3669,16.0,8.0,24.0
367,2.4,28.5272727273,30.9272727273
3670,5.5,32.0,37.5
3671,11.0,9.0,20.0
3672,5.5,19.5,25.0
3673,87.0,25.5,112.5
3674,15.5,12.0,27.5
3675,7.0,14.0,21.0
3676,4.5,4.5,9.0
3678,91.4,1.1,92.5
3679,8.0,23.5,31.5
368,17.2520376176,17.7247648903,34.9768025078
3680,,8.5,8.5
3681,5.5,8.0,13.5
3682,4.5,33.0,37.5
3683,1.5,13.5,15.0
3684,,16.5,16.5
3685,5.0,12.5,17.5
3686,1.0,1.5,2.5
3687,,1.5,1.5
3688,5.0,23.0,28.0
3689,3.0,21.0,24.0
369,29.878369906,22.7611285266,52.6394984326
3690,1.5,,1.5
3691,5.5,14.5,20.0
3692,4.0,3.5,7.5
3693,6.0,17.5,23.5
3694,6.0,3.5,9.5
3695,,1.5,1.5
3696,,1.5,1.5
3697,28.5480769231,58.6971153846,87.2451923077
3698,5.0,,5.0
3699,,,0.0
37,,,0.0
370,41.7247648903,15.3454545455,57.0702194357
3700,1.0,,1.0
3701,1.0,3.0,4.0
3702,,,0.0
3703,5.0,2.0,7.0
3704,6.0,6.0,12.0
3705,1.0,,1.0
3706,,,0.0
3707,,4.0,4.0
3708,2.0,1.0,3.0
3709,5.0,3.0,8.0
371,43.8313479624,12.6884012539,56.5197492163
3710,4.0,,4.0
3711,2.0,,2.0
3712,3.0,,3.0
3713,2.0,,2.0
3714,,,0.0
3715,,,0.0
3716,,9.0,9.0
3717,2.0,4.0,6.0
3718,,1.0,1.0
3719,,,0.0
372,,9.81567398119,9.81567398119
3720,,,0.0
3721,,,0.0
3722,1.0,,1.0
3723,5.0,,5.0
3724,,1.0,1.0
3727,19.0,6.0,25.0
3728,,3.0,3.0
3729,5.0,2.0,7.0
373,12.6677115987,7.90909090909,20.5768025078
3730,,,0.0
3731,1.0,2.0,3.0
3732,,,0.0
3733,,2.0,2.0
3734,,4.0,4.0
3735,,12.0,12.0
3736,,10.0,10.0
3737,,8.0,8.0
3738,10.0,5.0,15.0
3739,4.0,3.0,7.0
374,26.1065830721,17.5090909091,43.6156739812
3740,4.0,6.0,10.0
3741,,9.0,9.0
3742,1.0,6.0,7.0
3743,3.0,,3.0
3744,4.0,8.0,12.0
3745,12.7320574163,5.21052631579,17.9425837321
3746,10.2520933014,,10.2520933014
3747,11.2302631579,,11.2302631579
3748,17.0074760766,1.63157894737,18.6390550239
3749,14.7730263158,1.63157894737,16.4046052632
375,15.3454545455,22.0727272727,37.4181818182
3750,28.8427033493,4.35406698565,33.1967703349
3752,43.4063995215,29.6555023923,73.0619019139
3754,29.2945574163,3.29934210526,32.5938995215
3755,9.56997607656,,9.56997607656
3756,2.45933014354,1.5625,4.02183014354
3757,29.7730263158,10.0361842105,39.8092105263
3758,2.2,2.2,4.4
3759,,,0.0
376,6.76923076923,3.38461538462,10.1538461538
3760,11.1111111111,8.26315789474,19.3742690058
3761,,1.36842105263,1.36842105263
3762,,2.08695652174,2.08695652174
3763,,11.1556064073,11.1556064073
3764,22.4444444444,6.36842105263,28.8128654971
3765,14.8187134503,32.5263157895,47.3450292398
3766,8.66666666667,14.6842105263,23.350877193
3767,2.88888888889,19.1578947368,22.0467836257
377,26.1318181818,37.2015673981,63.3333855799
3772,9.57142857143,149.819548872,159.390977444
3773,2.08695652174,32.5034324943,34.590389016
3774,6.52631578947,18.3295194508,24.8558352403
3775,5.08695652174,12.8032036613,17.8901601831
3783,10.1111111111,19.3684210526,29.4795321637
3786,9.65131578947,25.283492823,34.9348086124
3787,15.4449760766,50.6067583732,66.0517344498
3788,19.985645933,60.9769736842,80.9626196172
3789,75.269437799,121.526614833,196.796052632
379,17.4313479624,47.64446186,65.0758098224
3790,82.0364832536,204.696471292,286.732954545
3791,21.5349880383,95.0412679426,116.576255981
3792,48.4548444976,213.205442584,261.660287081
3793,30.5918062201,83.2251794258,113.816985646
3798,14.9404904306,61.4596291866,76.4001196172
3799,4.29934210526,28.2323564593,32.5316985646
38,,1.8,1.8
380,8.77528735632,12.1384012539,20.9136886102
3800,7.19407894737,85.4491626794,92.6432416268
3801,12.2323564593,116.640849282,128.873205742
3806,15.9691985646,100.279007177,116.248205742
38069,,2.4,2.4
3807,18.5795454545,121.737141148,140.316686603
38070,,,0.0
38071,,1.2,1.2
38072,,,0.0
38073,,,0.0
38074,,,0.0
3808,10.8495813397,129.066686603,139.916267943
